Título,Data,Fonte,Link,Classificação de Relevância,Resumo,Possível Impacto para a CloudWalk
PL 3127/2026 institui ressarcimento garantido a vítimas de fraude no Pix,2026-06-16,Câmara dos Deputados,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2632577,Alta,"Obriga instituições a ressarcir vítimas de fraude em pagamentos instantâneos, alterando regras de responsabilidade no Pix.",Cria obrigação direta de reembolso que impacta custos e processos antifraude da CloudWalk no Pix.
PL 2929/2026 declara o Pix infraestrutura pública crítica de pagamentos,2026-06-09,Câmara dos Deputados,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2630402,Alta,"Propõe reconhecer o Pix como infraestrutura pública estratégica operada pelo BC, elevando exigências de resiliência.",Mudança de status jurídico do Pix pode trazer novas regras obrigatórias de segurança e governança.
PL 2917/2026 institui Marco Legal da Soberania Financeira Digital Brasileira,2026-06-08,Câmara dos Deputados,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2630308,Alta,"Cria marco regulatório amplo para proteção de infraestruturas financeiras digitais estratégicas, incluindo pagamentos.",Novo marco legal pode impor requisitos de conformidade e soberania de dados a instituições de pagamento.
PL 2530/2026 obriga prevenção e rastreabilidade de fraudes por engenharia social,2026-05-20,Câmara dos Deputados,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2626519,Alta,"Estabelece deveres de prevenção, detecção e rastreabilidade de fraudes financeiras via engenharia social.",Nova regra obrigatória de segurança antifraude exige adaptação rápida dos sistemas de compliance da CloudWalk.
PL 1633/2026 fixa critérios de medidas para instituições autorizadas pelo BC,2026-04-07,Câmara dos Deputados,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2613807,Média,Define critérios para medidas cautelares aplicáveis por instituições autorizadas pelo Banco Central em casos suspeitos.,Pode padronizar procedimentos de bloqueio/fraude que afetam a operação diária da instituição de pagamento.
MPV 1355/2026 institui o Novo Desenrola Brasil para renegociação de dívidas,2026-05-04,Câmara dos Deputados,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2620929,Média,Cria programa extraordinário de reequilíbrio financeiro das famílias com renegociação facilitada de dívidas e crédito.,Programa de renegociação de crédito pode alterar volume e inadimplência das carteiras de crédito da fintech.
PL 3684/2026 veda venda casada em contratos de crédito consignado,2026-07-14,Câmara dos Deputados,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2639457,Média,Proíbe a imposição de produtos ou serviços acessórios na contratação de crédito consignado.,"Afeta a oferta de produtos vinculados a crédito consignado, tema relevante para IPs que operam crédito."
PL 3674/2026 permite suspensão cautelar de descontos de consignado,2026-07-14,Câmara dos Deputados,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2639344,Média,Autoriza suspensão cautelar de descontos em folha de empréstimos e cartões consignados em casos de abuso.,Pode impactar fluxo de recebíveis e processos de cobrança de produtos de crédito consignado.
PL 7188/2025 exige capacitação de agentes bancários contra fraudes,2025-12-22,Câmara dos Deputados,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2599797,Média,Obriga capacitação de agentes bancários e financeiros para identificar operações suspeitas de fraude.,Nova exigência de treinamento antifraude pode gerar custos de compliance para instituições de pagamento.
CVM publica atos declaratórios e portaria administrativa,2026-07-30,Diário Oficial da União (DOU),https://www.in.gov.br/en/web/dou/-/portaria-cvm/pte/n-183-de-29-de-julho-de-2026-722131400,Baixa,"Publicação de atos administrativos de rotina da CVM, sem mudança relevante de regra para o mercado.","Ato administrativo de rotina, sem impacto direto sobre operações de meios de pagamento da CloudWalk."
"Boletim Focus mantém projeção de Selic em 14,00% para 2026",2026-07-24,Banco Central do Brasil (Focus),https://www.bcb.gov.br/publicacoes/focus,Baixa,"Mercado projeta Selic estável em 14% a.a. em 2026, com queda gradual até 2030.","Projeção macroeconômica não exige ação imediata do board, apenas contexto para precificação de crédito."
PL 4102/2026 amplia responsabilidade objetiva no Código de Defesa do Consumidor,2026-07-17,Câmara dos Deputados,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2640780,Baixa,"Altera o CDC para reforçar responsabilidade objetiva de fornecedores, incluindo serviços financeiros.","Mudança genérica de responsabilidade civil, sem regra específica imediata para instituições de pagamento."
