Título,Data,Fonte,Link,Classificação de Relevância,Resumo,Possível Impacto para a CloudWalk
Instrução Normativa COAF Nº 1/2026 publicada no DOU,2026-07-28,Diário Oficial da União,https://www.in.gov.br/en/web/dou/-/edital-n-30/2026-dipro/cenpsa/cgs/snrc-notificacao-721863005,Alta,Novo normativo do COAF sobre prevenção à lavagem de dinheiro atinge diretamente obrigações de compliance de instituições de pagamento.,Regra obrigatória de AML/PLD exige atualização imediata de políticas internas da CloudWalk como IP.
"Resolução CMN Nº 5.330, de 23/07/2026",2026-07-24,Diário Oficial da União,https://www.in.gov.br/en/web/dou/-/resolucao-cmn-n-5.330-de-23-de-julho-de-2026-721097913,Alta,"Novo normativo do Conselho Monetário Nacional publicado, com potencial impacto em regras prudenciais do SFN.",Resoluções do CMN podem alterar exigências de capital ou regras aplicáveis a IPs e SCFIs S4.
PL 2929/2026 declara o Pix infraestrutura estratégica nacional,2026-06-09,Câmara dos Deputados,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=3142905,Alta,"Projeto define o Pix como infraestrutura crítica nacional, com regras de soberania de dados e proteção institucional.","Se aprovado, pode impor novas obrigações de segurança e soberania de dados a participantes do Pix como a CloudWalk."
PL 3127/2026 institui ressarcimento garantido a vítimas de fraude no Pix,2026-06-16,Câmara dos Deputados,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=3147140,Alta,Propõe repartir perdas por fraude em Pix entre instituições participantes e telecoms/provedores de internet.,"Mudaria regras de responsabilidade financeira por fraude no Pix, afetando diretamente custos e processos da IP."
PL 4387/2025 assegura gratuidade do Pix e reforça segurança antifraude,2025-09-02,Câmara dos Deputados,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2991037,Alta,Projeto pronto para pauta garante gratuidade do Pix a pessoas físicas e exige medidas de segurança contra fraudes.,"Está pronto para votação e pode alterar regras tarifárias e de segurança do Pix, exigindo adaptação regulatória rápida."
"Resolução CMN Nº 5.331, de 23/07/2026",2026-07-24,Diário Oficial da União,https://www.in.gov.br/en/web/dou/-/resolucao-cmn-n-5.331-de-23-de-julho-de-2026-721078271,Média,"Segunda resolução do CMN na mesma data, ampliando o pacote normativo do dia sobre o sistema financeiro.",Complementa outra resolução CMN; requer leitura do texto integral para avaliar impacto direto na IP.
PL 3674/2026 sobre suspensão cautelar de descontos de consignado e cartão de crédito,2026-07-14,Câmara dos Deputados,https://www.camara.leg.br/proposicoesWeb/prop_buscar?texto=PL+3674/2026,Média,"Propõe suspensão cautelar de descontos em folha para consignados e cartões, protegendo consumidores endividados.","Afeta operações de crédito consignado/cartão, relevante para produtos de crédito da CloudWalk mas sem risco imediato de sanção."
PL 2749/2026 veda cobrança de multa moratória em operações de crédito,2026-05-30,Câmara dos Deputados,https://www.camara.leg.br/proposicoesWeb/prop_buscar?texto=PL+2749/2026,Média,"Altera o CDC para proibir multa moratória em operações de crédito, financiamento e afins.","Impacta política de cobrança e receita de produtos de crédito da CloudWalk, sem urgência regulatória imediata."
Atos Declaratórios CVM de 27/07/2026,2026-07-28,Diário Oficial da União,https://www.in.gov.br/en/web/dou/-/atos-declaratorios-cvm-de-27-de-julho-de-2026-721757859,Baixa,CVM publica atos declaratórios de rotina sobre registro de entidades reguladas.,"Ato administrativo de rotina da CVM, sem alteração de regras aplicáveis à CloudWalk como IP/SCFI."
Portaria BCB nº 127.348/2026 e Comunicados do BCB da semana,2026-07-28,Banco Central do Brasil (DOU),https://www.in.gov.br/en/web/dou/-/comunicado-n-45.638-de-27-de-julho-de-2026-721837601,Baixa,"BCB publicou lote de portarias e comunicados administrativos na semana, sem alteração normativa relevante identificada.","Atos majoritariamente administrativos (portarias de pessoal, retificações), sem impacto direto em regras da IP."
Séries do BCB sobre inadimplência de crédito e cartão parcelado,2026-07-28,Banco Central do Brasil (SGS),https://www3.bcb.gov.br/sgspub,Baixa,"BCB mantém séries mensais de inadimplência de crédito PF/PJ e cartão parcelado, indicador de risco de crédito no varejo.","Dado de contexto macroeconômico recorrente, sem gatilho de ação imediata para o board."
BrasilAPI: lista atualizada de participantes do Pix,2026-07-28,BrasilAPI / BCB,https://brasilapi.com.br/api/pix/v1/participants,Baixa,"Base de participantes diretos e indiretos do Pix continua sendo atualizada, incluindo novas IPs entrantes no arranjo.","Dado de referência operacional sobre concorrentes/parceiros no Pix, sem mudança normativa associada."
