Título,Data,Fonte,Link,Classificação de Relevância,Resumo,Possível Impacto para a CloudWalk
PL 2929/2026 declara o Pix infraestrutura estratégica nacional,2026-06-09,Câmara dos Deputados,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=3142905,Alta,"Projeto declara o Pix infraestrutura estratégica nacional, criando regras de soberania de dados e proteção institucional obrigatórias.",Mudança no status jurídico do Pix pode gerar novas obrigações regulatórias diretas para IPs como a CloudWalk.
PL 3127/2026 institui ressarcimento garantido a vítimas de fraude no Pix,2026-06-16,Câmara dos Deputados,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=3147140,Alta,"Cria ressarcimento obrigatório a vítimas de fraude em pagamentos instantâneos, repartindo perdas entre instituições participantes.",Impõe nova regra de responsabilidade financeira direta sobre IPs em casos de fraude no Pix.
PL 2530/2026 cria deveres de segurança contra fraude por engenharia social,2026-05-20,Câmara dos Deputados,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=3133628,Alta,"Estabelece deveres obrigatórios de prevenção, detecção e rastreabilidade de fraudes por engenharia social para instituições de pagamento.","Cria obrigação regulatória de segurança cibernética específica para IPs, exigindo adaptação rápida."
PL 6080/2025 reforça responsabilidade de bancos e IPs por fraudes digitais,2025-12-02,Câmara dos Deputados,https://www.camara.leg.br/propostas-legislativas/2590367,Alta,Altera legislação consumerista e financeira para ampliar responsabilidade de bancos e instituições de pagamento em fraudes.,Amplia exposição jurídica e regulatória de IPs S4 em casos de fraude eletrônica.
PL 1911/2025 cria marco legal de combate à fraude bancária,2025-04-28,Câmara dos Deputados,https://www.camara.leg.br/propostas-legislativas/2501247,Alta,"Estabelece marco legal de prevenção e combate à fraude bancária, com foco em práticas digitais e responsabilização.",Define novo arcabouço legal de combate a fraudes que impacta diretamente processos de compliance da CloudWalk.
PL 1601/2026 institui responsabilidade objetiva em golpes financeiros,2026-04-06,Câmara dos Deputados,https://www.camara.leg.br/propostas-legislativas/2613477,Alta,Estabelece responsabilidade objetiva das instituições financeiras em golpes de natureza financeira contra clientes.,Responsabilidade objetiva eleva risco jurídico e financeiro de IPs em casos de golpe contra usuários.
PL 1245/2026 regula encerramento unilateral de contas por bancos e IPs,2026-03-18,Câmara dos Deputados,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=3100077,Alta,"Exige transparência, motivação e contraditório mínimo para instituições financeiras e de pagamento encerrarem contas de clientes.",Altera diretamente processo operacional de onboarding/offboarding de clientes de uma IP como a CloudWalk.
Instrução Normativa BCB nº 766/2026 publicada no DOU,2026-07-29,Diário Oficial da União,https://www.in.gov.br/en/web/dou/-/instrucao-normativa-bcb-n-766-de-27-de-julho-de-2026-722116622,Média,"Banco Central publica nova Instrução Normativa, parte do fluxo constante de normativos que exigem monitoramento contínuo de compliance.",Normativo do BCB requer verificação de eventuais impactos em obrigações regulatórias da IP.
PL 3323/2026 veda uso de cartão de crédito e Pix parcelado em apostas,2026-06-26,Câmara dos Deputados,https://www.camara.leg.br/propostas-legislativas/2635442,Média,"Veda uso de cartão de crédito, Pix parcelado, empréstimos e limites pré-aprovados para pagamento de apostas esportivas.","Restringe uso de produtos de crédito e Pix parcelado, exigindo ajuste em regras de aceitação de pagamentos."
PL 4102/2026 altera CDC sobre responsabilidade em operações financeiras,2026-07-17,Câmara dos Deputados,https://www.camara.leg.br/propostas-legislativas/2640780,Média,Altera o Código de Defesa do Consumidor para estabelecer responsabilidade objetiva em operações financeiras eletrônicas.,Nova regra consumerista pode aumentar exposição de IPs a reclamações e ações judiciais.
CVM publica novos Atos Declaratórios no DOU,2026-07-29,Diário Oficial da União,https://www.in.gov.br/en/web/dou/-/atos-declaratorios-cvm-de-28-de-julho-de-2026-722054393,Baixa,"CVM publica atos declaratórios de rotina (credenciamentos/autorizações), sem alteração normativa relevante identificada.",Atos administrativos de rotina da CVM sem impacto direto sobre operação de uma IP/SCFI.
Boletim Focus: mercado eleva projeção da Selic para 2026,2026-07-24,Banco Central do Brasil,https://www.bcb.gov.br/publicacoes/focus,Baixa,"Mediana das expectativas do mercado aponta Selic em 14,00% para 2026, com queda gradual projetada até 2030.","Projeção macroeconômica de contexto, sem exigência de ação regulatória imediata da CloudWalk."
